Company,Target Variable,Source Feature,Lag,F_stat,p_value_perm,B_valid,block,T,p_value_perm_bh,significant_perm_bh,Flag
CCC,volatility_gk,sentiment_score,1,5.1596956490461485,0.0374064837905236,400,10,250,0.1907730673316707,False,False
CCC,volatility_gk,sentiment_polarity,1,4.016031423525371,0.0448877805486284,400,10,250,0.1907730673316707,False,False
CCC,volatility_gk,view_weighted_polarity,1,2.950860008735792,0.0872817955112219,400,10,250,0.29675810473815445,False,False
CCC,volatility_gk,sentiment_intensity,1,2.9101786449443066,0.0723192019950124,400,10,250,0.2732058742033802,False,False
CCC,volatility_gk,sentiment_divergence,2,7.31949480269651,0.0049875311720698,400,10,250,0.0847880299251866,False,False
CCC,volatility_gk,positive_view_share,2,6.367481991306281,0.0074812967581047,400,10,250,0.0847880299251866,False,False
CCC,volatility_gk,negative_view_share,1,0.461512846472254,0.513715710723192,400,10,250,0.9400412013444649,False,False
CCC,volatility_gk,sentiment_momentum,3,0.5860023166646798,0.5935162094763092,400,10,250,0.9400412013444649,False,False
CCC,volatility_gk,retweet_virality,4,8.145220494982366,0.0199501246882793,400,10,250,0.13566084788029925,False,False
CCC,volatility_gk,log1p_total_views,1,1.7209739733545493,0.1720698254364089,400,10,250,0.48753117206982516,False,False
CCC,volatility_gk,log1p_total_retweet_count,1,0.3184206151603405,0.6359102244389028,400,10,250,0.9400412013444649,False,False
CCC,volatility_gk,log1p_tweet_volume,1,0.5827368982158742,0.4463840399002494,400,10,250,0.9400412013444649,False,False
CCC,volatility_gk,log1p_Positive,1,8.323739340397678,0.0024937655860349,400,10,250,0.0847880299251866,False,False
CCC,volatility_gk,log1p_Neutral,1,0.0074809565205798,0.9226932668329176,400,10,250,0.9650872817955112,False,False
CCC,volatility_gk,log1p_Negative,1,0.0044837055418671,0.9351620947630924,400,10,250,0.9650872817955112,False,False
CCC,volatility_gk,log1p_view_count_Positive,1,6.646344986322782,0.0124688279301745,400,10,250,0.10598503740648325,False,False
CCC,volatility_gk,log1p_view_count_Neutral,1,0.9196496393013124,0.3017456359102244,400,10,250,0.7891808939190486,False,False
CCC,volatility_gk,log1p_view_count_Negative,1,0.1465765281615823,0.7182044887780549,400,10,250,0.9650872817955112,False,False
